user_id,date,tweet,compound,positive,negative,neutral
17842366.0,Tue Apr 10 10:00:17 +0000 2018,Have you ever attempted to build a Semi-Race Truck? Watch as @Aaron_Kaufman puts his motor skills to the test 🏎️ https://t.co/vPVusbMx5s,0.0,0.0,0.0,1.0
17842366.0,Tue Apr 10 08:00:10 +0000 2018,Case re-opened: Investigate the murder of Carrie Singer alongside the detectives of the Isle of Wight County now https://t.co/B32mGbCFVM,-0.6908,0.0,0.207,0.793
17842366.0,Mon Apr 09 22:25:20 +0000 2018,"RT @DiscoveryMotor: #MotorMonday is lit! @GasMonkeyGarage is getting ready to roll out something special for @ShinerBeer, followed by a big…",0.6696,0.244,0.0,0.756
17842366.0,Mon Apr 09 21:23:03 +0000 2018,RT @DiscoveryMotor: #MotorMonday is lit! @GasMonkeyGarage is getting ready to roll out something special for… https://t.co/5OlgAnMV5E,0.6696,0.282,0.0,0.718
17842366.0,Mon Apr 09 17:05:10 +0000 2018,"RT @DeadliestCatch: 40-ft waves, freezing temperatures and unforgiving storms. The battle between man vs nature continues on an all-new sea…",-0.4588,0.0,0.182,0.818
17842366.0,Mon Apr 09 17:04:47 +0000 2018,RT @AnimalPlanet: One look into those giant eyes and you'll know why so many keepers love Honeybee. https://t.co/Gd6VPSBsZu,0.6666,0.208,0.0,0.792
17842366.0,Mon Apr 09 15:00:45 +0000 2018,"Lions are currently #RacingExtinction. 😔

Visit https://t.co/0d12kfJGjb for more information. 🦁 https://t.co/xslZYIfW2i",0.0,0.0,0.0,1.0
17842366.0,Mon Apr 09 10:00:11 +0000 2018,"Yule Kilcher has handed the torch off to a new generation of homesteaders 🌲

Watch @AlaskaTLF on Discovery GO
https://t.co/g2BwWGxvtj",0.0,0.0,0.0,1.0
17842366.0,Sun Apr 08 21:30:30 +0000 2018,"RT @AnimalPlanet: We don't want none unless you got buns, hun. #RiverMonsters #MightyRivers https://t.co/c9sBeJpJaq",-0.0572,0.0,0.086,0.914
17842366.0,Sun Apr 08 21:29:30 +0000 2018,"RT @NakedAndAfraid: Do you think a handmade hat will better protect these survivalists from the storm? 😯🌧️

RT if you're watching an all ne…",0.6705,0.208,0.0,0.792
17842366.0,Sun Apr 08 17:08:26 +0000 2018,RT @DeadliestCatch: It's almost time to catch that crab! 2 days! #DeadliestCatch https://t.co/f0HvHquRXm,0.0,0.0,0.0,1.0
17842366.0,Sun Apr 08 15:30:04 +0000 2018,"“Texas Sea turtles are one of the most iconic and popular animals found at Padre Island National Seashore.” 

- 📸… https://t.co/DNpjyVIUzT",0.4703,0.139,0.0,0.861
17842366.0,Sun Apr 08 10:00:07 +0000 2018,"Watch Stephen Hawking and his team examine quadrocopters on Discovery GO

https://t.co/XDxLn3SSNB",0.0,0.0,0.0,1.0
17842366.0,Sat Apr 07 22:30:06 +0000 2018,RT @DeadliestCatch: The first sting from a jellyfish is felt more than skin deep. Dive into the life of two Deadlie… https://t.co/IfrHBXFam1,0.0,0.0,0.0,1.0
17842366.0,Sat Apr 07 22:08:35 +0000 2018,RT @AnimalPlanet: Strength isn't always defined by size. Case in point: the leafcutter ant. #InsideTheZoo https://t.co/C1jj8vvuV6,0.4939,0.176,0.0,0.824
17842366.0,Sat Apr 07 22:04:47 +0000 2018,"RT @BeringSeaGold: Not everyone took home gold last night......
https://t.co/xdo5z5Osrm",0.0,0.0,0.0,1.0
17842366.0,Sat Apr 07 18:45:10 +0000 2018,"The @Gold_Rush team is trying to figure out if they should move ahead or take a step back.

Re-watch last night's e… https://t.co/5UXt0UqHEp",0.0,0.0,0.0,1.0
