account,text,date,compound,positive,neutral,negative
BBC,RT @BBCBreaking: Duchess of Cambridge has been admitted to hospital in the early stages of labour with her third child https://t.co/ST2R53a…,2018-04-23 07:30:49,0.1027,0.065,0.935,0.0
BBC,"Contrary to popular belief, we now hear more diverse voices than ever before and most people do not live in Faceboo… https://t.co/RLgNf8khvQ",2018-04-23 07:30:05,0.4215,0.118,0.882,0.0
BBC,🚀 Three things you didn’t know about going to Mars. https://t.co/pOPJz82fXB,2018-04-23 07:00:09,0.0,0.0,1.0,0.0
BBC,"Stand up comedy from halloumi enthusiast and absolute lad @joelycett. 😂

That's The Way, A-Ha A-Ha, Joe Lycett | 10… https://t.co/NHdfQKtLmC",2018-04-22 20:17:08,0.7845,0.287,0.651,0.062
BBC,The lives of two half-sisters and their drawing master get caught up in a deadly conspiracy revolving around a ment… https://t.co/Eczbbv1Xiq,2018-04-22 19:03:04,-0.5267,0.0,0.841,0.159
BBC,😍🐮 These cows have been let out for the first time in five months. https://t.co/RYBwAENw0L,2018-04-22 18:00:24,0.0,0.0,1.0,0.0
BBC,❤️🦍 Bolingo is learning to enhance his mental and physical wellbeing. https://t.co/PCd1vtd9mD,2018-04-22 16:00:22,0.0,0.0,1.0,0.0
BBC,It's a boy! 😍The gender of the UK's first polar bear cub to be born in 25 years has been confirmed... now we just n… https://t.co/ylwMjGfhBs,2018-04-22 15:31:08,0.0,0.0,1.0,0.0
BBC,RT @BBCNewsbeat: During the #LondonMarathon this man proposed to his girlfriend 💍❤️ https://t.co/k4EHQiRGo7,2018-04-22 15:30:13,0.0,0.0,1.0,0.0
BBC,"No business cards, a focus on ‘life-life balance’ and an average employee age of 25-years-old…

Is this the younges… https://t.co/fwXh4t9W84",2018-04-22 13:08:03,-0.296,0.0,0.891,0.109
BBC,"RT @BBC100women: In 1967, @KVSwitzer became the first woman to officially run the Boston Marathon.

Kathrine has gone on to run another 40…",2018-04-22 12:56:32,0.0,0.0,1.0,0.0
BBC,What a legend. 🙌 https://t.co/0weiFvPGwD,2018-04-22 12:15:00,0.0,0.0,1.0,0.0
BBC,This is how art is helping Beirut recover from the ravages of war. 🎨❤️️ https://t.co/BDswK8zvQE https://t.co/YywZCbNWtU,2018-04-22 12:03:05,-0.4019,0.109,0.697,0.194
BBC,"RT @BBCOne: Third place AND the British record. 

Go Mo! 🙌🙌 #LondonMarathon https://t.co/fJs3g0LSwk",2018-04-22 12:00:40,0.0,0.0,1.0,0.0
BBC,"RT @BBCOne: Running: not for everyone. 
#LondonMarathon @bbcsport https://t.co/ZgJ2hPF3K2",2018-04-22 12:00:34,0.0,0.0,1.0,0.0
BBC,Imagine a world where scientists are the people kids dreamed of becoming. 🔬💡🚀 @KarenLMasters takes us to her “scien… https://t.co/JYagPrcqhB,2018-04-22 11:06:05,0.0,0.0,1.0,0.0
BBC,"RT @bbcgetinspired: Running 26.2 miles = dedication ✅💯

But running it dressed as a minion or a giant rhino? Amazing 😂

#LondonMarathon #Ge…",2018-04-22 10:43:47,0.8765,0.308,0.622,0.07
BBC,"RT @BBCSport: What a moment for her! After making her marathon debut last year at the age of 33, Kenya's Vivian Cheruiyot has won her first…",2018-04-22 10:43:33,0.6114,0.143,0.857,0.0
BBC,"Before her family went into hiding, Anne Frank exchanged letters with a pen pal from America. 💌👉… https://t.co/WPpcqc0o7S",2018-04-22 10:03:04,-0.296,0.0,0.879,0.121
BBC,"RT @bbcgetinspired: 26.2 miles.
40,000 runners.
40,000 reasons to run.

It's the @LondonMarathon!

Live 👉 https://t.co/3dAqQTmdJ1

📺 @BBCOn…",2018-04-22 09:06:18,0.0,0.0,1.0,0.0
BBC,"If you thought being transgender was a recent development, the Ancient Greeks have news for you... https://t.co/qxl9lcqC0O",2018-04-22 09:04:04,0.0,0.0,1.0,0.0
BBC,RT @BBCSport: Paula Radcliffe thinks her record is under threat today from Mary Keitany and Tirunesh Dibaba. We'll soon see. They're off an…,2018-04-22 08:47:42,-0.5267,0.0,0.866,0.134
BBC,"RT @BBCEngland: 🏃‍♀️☀️🏃‍♂️ Running the #LondonMarathon today? 🏃‍♀️☀️🏃‍♂️

Here's what you need to know about running a marathon in the heat…",2018-04-22 08:40:21,0.0,0.0,1.0,0.0
BBC,"RT @BBCOne: Good luck to everyone running the #LondonMarathon today 🙌 

Tune in to live coverage 📺 @bbcone.
Follow live online with @bbcspo…",2018-04-22 08:39:44,0.7096,0.211,0.789,0.0
BBC,How do you put on a world class show when your theatre is surrounded by water? 🎭🎶🎟 https://t.co/SNmeBae451,2018-04-22 08:03:06,0.0,0.0,1.0,0.0
BBC,"🏃🏃‍♀️👏 @GabbyLogan is live at the 38th London Marathon, where world-class runners and thousands of fundraisers are… https://t.co/fc22DepgVZ",2018-04-22 07:08:06,0.0,0.0,1.0,0.0
BBC,RT @BBCNews: Austin Powers actor Verne Troyer dies aged 49 https://t.co/ongU21oE9A,2018-04-21 21:17:16,0.0,0.0,1.0,0.0
BBC,"RT @BBCOne: Here's a special message to The Queen to wish Her Majesty a Happy Birthday. With @CraigDavid, @ShawnMendes, @TheRealLukevans an…",2018-04-21 21:00:57,0.8442,0.363,0.637,0.0
BBC,Shaggy helps the Queen celebrate 92nd birthday! 👑 https://t.co/5C4NR4h5f9 https://t.co/jBHBF8ECOh,2018-04-21 20:58:05,0.7644,0.452,0.548,0.0
BBC,Fans gather in Stockholm to remember superstar DJ #Avicci. https://t.co/S7pIZbIwpd https://t.co/YD5Wuzaue1,2018-04-21 20:45:04,0.0,0.0,1.0,0.0
BBC,"Tonight, @ShawnMendes, @kylieminogue, @RealSirTomJones and more will perform at a celebration concert for Her Majes… https://t.co/NweqKaZsdW",2018-04-21 18:01:03,0.0,0.0,1.0,0.0
BBC,🎨 Meet the 91-year-old rebel artist who was told he was unteachable. https://t.co/Vyquf7IG49,2018-04-21 17:05:03,-0.1531,0.0,0.89,0.11
BBC,❤️🦍 A mother's love. https://t.co/O88T9j69Ga,2018-04-21 16:03:02,0.6369,0.583,0.417,0.0
BBC,"😂 He's just playing, isn't he?
#Doodlebugs https://t.co/l36pbPp0xO",2018-04-21 15:01:06,0.5719,0.339,0.545,0.115
BBC,RT @bbccomedy: But isn't every day #NationalTeaDay? 😜🇬🇧 https://t.co/hopt64YkzD,2018-04-21 14:11:43,0.0,0.0,1.0,0.0
BBC,"🚘🚆 A man bought a car, taxed and insured it and drove from London to Bristol - all for less than a return train far… https://t.co/sOaqAT62I9",2018-04-21 14:07:06,0.0,0.0,1.0,0.0
BBC,"RT @bbcmusic: HOW GREAT was @ShawnMendes 'In My Blood' performance? 💕 
Watch in full 👉https://t.co/OkASFE8FDB

#SoundsLikeFridayNight https…",2018-04-21 13:10:37,0.7034,0.221,0.779,0.0
